Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
Rental with a nonzero price (5.00),fighting-tommy-riley-vhs,Fighting Tommy Riley,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,12450298,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (8.00),mask-vhs,Mask,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,8.00,11729402,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (7.00),flash-of-green-vhs,Flash of Green,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,7.00,11631098,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),far-and-away-vhs,Far and Away,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,11270650,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (4.00),two-bits-vhs,Two Bits,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,4.00,11074042,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (8.00),lifeguard-vhs,Lifeguard,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,8.00,10123770,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (11.00),beetlejuice,Beetlejuice,This high-definition physical release brings a classic supernatural comedy to life with stunning clarity and vibrant color enhancement. It features a variety of behind-the-scenes bonus content and isolated musical scores that offer fans a deeper look into the whimsical and gothic aesthetic of the film. This disc is an essential addition for collectors seeking the best possible home viewing experience for this timeless spooky favorite.,BLU-RAY,,"Kids & Family, Rental",Condition,50%,shopify,1,deny,manual,11.00,191-BLRBTL-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781728246362.jpg?v=1781746605,1,191-BLRBTL-50-001A,,,true,,Serial Number,001A,,,,,191-BLRBTL-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781728246362.jpg?v=1781746605,lb,,,active
Rental with a nonzero price (14.00),gangster-squad,Gangster Squad,,BLU-RAY,,"Action, Rental",Condition,50%,shopify,1,deny,manual,14.00,191-BLRGAN-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404380657.jpg?v=1781405022,1,191-BLRGAN-50-001A,,,true,,Serial Number,001A,,,,,191-BLRGAN-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404380657.jpg?v=1781405022,lb,,,active
Rental with a nonzero price (9.00),this-is-the-end,This Is The End,"This high-definition physical release offers a premium home viewing experience of the hit apocalyptic comedy with stunning visual clarity and immersive audio. It includes a variety of exclusive bonus features like deleted scenes, behind-the-scenes featurettes, and a gag reel that provide a deeper look into the star-studded production. This disc is an essential addition for fans of ensemble humor and over-the-top supernatural action looking for the best possible picture quality.",BLU-RAY,,"Comedy, Rental",Condition,50%,shopify,1,deny,manual,9.00,191-BLRTH5-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378025553.jpg?v=1781382019,1,191-BLRTH5-50-001A,,,true,,Serial Number,001A,,,,,191-BLRTH5-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378025553.jpg?v=1781382019,lb,,,active
Rental with a nonzero price (8.00),the-house-that-jack-built,THE HOUSE THAT JACK BUILT,Experience this provocative and visually stunning psychological thriller in high definition clarity with this premium physical release. This disc includes the full unrated version of the film alongside a collection of immersive special features for fans of intense cinematic storytelling. It is a must-have addition for collectors seeking to complete their library of modern cult masterpieces.,BLU-RAY,,"Horror, Rental",Condition,50%,shopify,1,deny,manual,8.00,191-BLRTHH-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781315875672.jpg?v=1781382000,1,191-BLRTHH-50-001A,,,true,,Serial Number,001A,,,,,191-BLRTHH-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781315875672.jpg?v=1781382000,lb,,,active
Rental with a nonzero price (10.00),open-season,OPEN SEASON,Experience the thrill of the great outdoors with this immersive hunting simulation that features realistic environments and a wide variety of North American game. Players can utilize authentic gear and tracking techniques to master the wilderness across multiple challenging levels. This engaging title provides hours of entertainment for sports enthusiasts looking for a detailed and strategic outdoor adventure.,VHS,Uncategorized,"Comedy, Rental",Condition,G,shopify,1,deny,manual,10.00,191-VHSOPE-G-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780176465245.jpg?v=1780182651,1,,,,true,,Serial Number,001A,,,,,191-VHSOPE-G-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (10.00),open-season,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906282422.jpg?v=1781910038,2,191-VHSOPE-002A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
