Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
"no usable genre (Option1 Value 'Standard', tags Rental)",confessions-of-a-police-captain,Confessions of a Police Captain,"This vintage videocassette comes in its original clamshell case, making it a nostalgic find for collectors of classic crime cinema. The physical media features striking retro cover art that captures the gritty aesthetic of international police thrillers. It is an ideal addition for anyone looking to preserve a piece of cinematic history through a tangible analog format.",VHS,,Rental,Condition,Standard,shopify,1,deny,manual,0.00,191-VHSCNF-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257643945.jpg?v=1782257860,1,191-VHSCNF-001A,,,true,,Serial Number,001A,,,,,191-VHSCNF-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257643945.jpg?v=1782257860,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Rental)",goodfellas-1,GoodFellas,,DVD,Uncategorized,Rental,Title,Default Title,shopify,1,deny,manual,0.00,33424378,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Standard', tags Rental)",departed,Departed,Experience the intense atmosphere of this critically acclaimed crime thriller through high-definition physical media. This home video release features the complete cinematic masterpiece alongside bonus features that delve into the gritty world of undercover operations and organized crime. It is an essential addition for any collector of award-winning dramas and legendary filmmaking.,BLU-RAY,,Rental,Condition,Standard,shopify,1,deny,manual,0.00,191-BLRDEP-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252657945.jpg?v=1782253833,1,191-BLRDEP-001A,,,true,,Serial Number,001A,,,,,191-BLRDEP-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252657945.jpg?v=1782253833,lb,,,active
"no usable genre (Option1 Value 'Standard', tags Rental)",being-john-malkovich,Being John Malkovich,"This special edition release features a high-definition digital restoration supervised by the director alongside a wealth of exclusive bonus content including behind-the-scenes documentaries and filmmaker interviews. It includes a collectible booklet containing an essay on the film's cultural impact, making it an essential addition for fans of surrealist cinema and boutique physical media.",BLU-RAY,,Rental,Condition,Standard,shopify,1,deny,manual,0.00,191-BLRBEI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249961255.jpg?v=1782253687,1,191-BLRBEI-001A,,,true,,Serial Number,001A,,,,,191-BLRBEI-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782249961255.jpg?v=1782253687,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",teaching-mrs-tingle,Teaching Mrs. Tingle,,VHS,Uncategorized,Floor Sale,Title,Default Title,shopify,1,deny,manual,8.00,08048378,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Standard', tags Rental)",come-blow-your-horn,Come Blow Your Horn,"This classic 1963 cinematic comedy comes in its original home video format, offering a nostalgic analog viewing experience for film collectors. The story follows a young bachelor as he learns the ropes of a sophisticated playboy lifestyle from his older brother, featuring witty dialogue and vibrant mid-century aesthetics. It is a must-have for those looking to enjoy a vintage physical copy of an iconic theatrical performance.",VHS,,Rental,Condition,Standard,shopify,1,deny,manual,0.00,191-VHSCMB-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906488983.jpg?v=1781910000,1,191-VHSCMB-001A,,,true,,Serial Number,001A,,,,,191-VHSCMB-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781906488983.jpg?v=1781910000,lb,,,active
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",white-oleander,White Oleander,This physical media collectible features a classic drama in its vintage tape format presented in a distinctive white protective case. Film enthusiasts will appreciate the nostalgic analog playback and the opportunity to own a piece of early 2000s cinematic history. It is a perfect addition for those building a library of evocative storytelling and period-specific media.,VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,5.00,191-VHSWHI-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSWHI-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",teachers,Teachers,,VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,6.00,191-VHSTCH-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSTCH-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",big-mommas-house,Big Momma's House,"Experience this classic family comedy in its original analog format, perfect for collectors and fans of nostalgic media. The physical tape comes in a durable protective sleeve featuring vibrant cover art that captures the lighthearted energy of the film. It offers a unique viewing experience that brings back the charm of nineties cinema and physical home video libraries.",VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,5.00,191-VHSBGM-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSBGM-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",zack-reba,Zack & Reba,,VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,6.00,191-VHSZAC-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSZAC-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value '50%', tags Floor Sale)",street-smart,Street Smart,"This refined leather briefcase offers a sleek, slim profile combined with functional organization for the modern professional. The interior features a padded compartment to protect your laptop alongside multiple pockets for keeping essential accessories and documents in order. Its polished aesthetic and durable construction make it a sophisticated choice for daily commutes and business travel alike.",VHS,,Floor Sale,Condition,50%,shopify,1,deny,manual,8.00,191-VHSSTR-50-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSSTR-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value '50%', tags Rental)",mr-brooks,Mr. Brooks,This high-definition psychological thriller offers a gripping look into the dual life of a successful businessman with a deadly hidden addiction. The crisp picture quality and immersive audio enhance the intense atmosphere and suspenseful performances of the star-studded cast. It is a sophisticated addition to any collection for those who enjoy complex character studies and edge-of-your-seat drama.,BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRMRB-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781750734534.jpg?v=1781750991,1,191-BLRMRB-50-001A,,,true,,Serial Number,001A,,,,,191-BLRMRB-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781750734534.jpg?v=1781750991,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",conan-the-barbarian,Conan The Barbarian,,BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRCON-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781749193748.jpg?v=1781749666,1,191-BLRCON-50-001A,,,true,,Serial Number,001A,,,,,191-BLRCON-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781749193748.jpg?v=1781749666,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",conan-the-barbarian,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/1-1781749194546.jpg?v=1781749667,2,191-BLRCON-50-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"no usable genre (Option1 Value '50%', tags Rental)",walking-tall,Walking Tall,Experience this high-definition presentation of a modern action classic featuring crisp visuals and immersive audio quality. This physical disc includes behind-the-scenes bonus content and director commentary that provides a deeper look into the making of the film. It is a must-have addition for collectors who enjoy intense performances and gripping justice-driven storytelling.,BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRWAL-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781746490306.jpg?v=1781746657,1,191-BLRWAL-50-001A,,,true,,Serial Number,001A,,,,,191-BLRWAL-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781746490306.jpg?v=1781746657,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",night-and-day,Night and Day,"This versatile fragrance features a distinct dual profile that transitions seamlessly from light, floral daytime notes to deep, woody evening undertones. Its unique composition is designed for the modern individual who values a sophisticated scent capable of adapting to any occasion. The elegant bottle makes it a timeless addition to any collection, offering a balanced olfactory experience that lingers beautifully on the skin.",DVD,,Rental,Condition,50%,shopify,1,deny,manual,3.00,191-DVDNGH-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402751742.jpg?v=1781402933,1,191-DVDNGH-50-001A,,,true,,Serial Number,001A,,,,,191-DVDNGH-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402751742.jpg?v=1781402933,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",the-black-room-vinegar-syndrome,The Black Room (Vinegar Syndrome),"This mysterious fragrance captures a sophisticated and moody atmosphere through its deep, smoky notes and woody undertones. It offers a long-lasting, unisex appeal that is perfect for evening wear or making a bold impression. The sleek bottle design makes it a stylish addition to any collection for those who appreciate complex and darker scent profiles.",BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRTHB-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396781968.jpg?v=1781397138,1,191-BLRTHB-50-001A,,,true,,Serial Number,001A,,,,,191-BLRTHB-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396781968.jpg?v=1781397138,lb,,,active
"no usable genre (Option1 Value '50%', tags Floor Sale)",cocktail,Cocktail,,VHS,,Floor Sale,Condition,50%,shopify,1,deny,manual,4.00,191-VHSCOC-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780417252482.jpg?v=1780598786,1,191-VHSCOC-50-001A,,,true,,Serial Number,001A,,,,,191-VHSCOC-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780417252482.jpg?v=1780598786,lb,,,active
"no usable genre (Option1 Value 'F', tags Floor Sale)",matilda,Matilda,Experience a nostalgic journey with this classic family film preserved in its original home video format. The clamshell case protects a high-quality magnetic tape that brings the magical story of a gifted young girl and her extraordinary powers to life on any vintage player. This collectible piece is perfect for enthusiasts seeking the authentic warmth and analog charm of nineties cinema.,VHS,,Floor Sale,Condition,F,shopify,1,deny,manual,3.00,191-VHSMAT-F-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780179675733.jpg?v=1780182688,1,,,,true,,Serial Number,001A,,,,,191-VHSMAT-F-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'F', tags Floor Sale)",threes-trouble,THREE'S TROUBLE,This vintage physical media release offers a nostalgic viewing experience for collectors of classic home entertainment. The tape comes in its original protective sleeve and features a full-length comedy presentation that captures the charm of analog video playback. It is a must-have addition for any enthusiast looking to complete their retro film library.,VHS,,Floor Sale,Condition,F,shopify,1,deny,manual,7.00,191-VHSTHR-F-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780177285764.jpg?v=1780182662,1,,,,true,,Serial Number,001A,,,,,191-VHSTHR-F-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'F', tags Floor Sale)",company-man,Company Man,"This suspenseful thriller follows a corporate professional who discovers a dark secret within his high-stakes workplace. Presented in its original physical format, this vintage tape offers a nostalgic viewing experience for collectors of nineties cinema and psychological dramas. The clamshell case preserves the striking cover art, making it a standout addition to any retro media library.",VHS,,Floor Sale,Condition,F,shopify,1,deny,manual,4.00,191-VHSCOM-F-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780177117823.jpg?v=1780182660,1,,,,true,,Serial Number,001A,,,,,191-VHSCOM-F-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
