Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,_reason
baywatch-the-movie-vhs-rental-action,Baywatch The Movie,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00276218,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
all-about-the-benjamins-vhs-rental-action,All About the Benjamins,"<p>Bounty hunter Bucum Jackson teams with the small-time con artist, Reggie Wright, that he is pursuing, in an attempt to locate a missing stash of diamonds and a lottery ticket worth millions of dollars. Bucum and Reggie find themselves in a race to the finish as they embark on an unlikely partnership that should -- when all is said and done -- prove beneficial to them both.</p>",VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00177914,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/sO7IpJHjZBGLevi8Ozj9EsAUw5h_3ca9fc05-ec7d-422b-b84d-7d0b7e60beee.jpg?v=1788880759,1,All About the Benjamins (2002) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
silk-2-vhs-rental-thriller,Silk 2,"<p>Silk, the smoothest, toughest, and sexiest cop in Honolulu is hot on the trail of ruthless art smugglers who are after a priceless Asian Scroll. Silk will stop at nothing to get her man, even if it means blowing up an entire building.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00112378,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/4fdCLDFrErF3JgfvYHOln77CLwI.jpg?v=1788880761,1,Silk 2 (1990) poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
cutthroat-island-vhs-rental-action,Cutthroat Island,"<p>Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.</p>",VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,00341754,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg?v=1788381062,1,Cutthroat Island (1995) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
circumstances-unknown-vhs-rental-thriller,Circumstances Unknown,"<p>A psychopath is obsessed with the wife of his longtime friend, which leads to a series of brutal murders.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,00276218,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/iX0FOPg6uwJHYocFmGSGUZPS81L.jpg?v=1788381061,1,Circumstances Unknown (1995) poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
reversal-of-fortune-vhs-rental-drama,Reversal of Fortune,"<p>Wealthy Sunny von Bülow lies brain-dead, husband Claus guilty of attempted murder; but he says he's innocent and hires Alan Dershowitz for his appeal.</p>",VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00177914,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/jEmFeHPsoyHk6RRZslKzC5NVFad.jpg?v=1788381058,1,Reversal of Fortune (1990) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
century-vhs-rental-drama,Century,<p>Turn-of-the-century love story centered around a young doctor and the emergence of modern science.</p>,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,00112378,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/ntFKHMOKwJ42TCxOc3MVgTX4BXb.jpg?v=1788381056,1,Century (1993) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
you-can-count-on-me-vhs-rental-drama,You Can Count on Me,<p>Sammy is a single mother who is extremely protective of her 8-year-old son. She is satisfied with living in the small town she grew up in and working in a local bank. When her brother Terry visits he fits the void in the life of both her and her son. Temporarily free of the constraints of single motherhood she begins to break free of her normal routine. In a string of traumatic events Sammy is torn between helping her brother and her maternal instinct to protect her son from getting hurt.</p>,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48255226,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/You_Can_Count_on_Me_d601d788-4c69-4dbc-bbb6-b05243de4935.png?v=1788290469,1,You Can Count on Me poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
the-yards-vhs-rental-thriller,The Yards,"<p>After serving time in prison for taking the fall for a group of his friends, Leo just wants to get his life back on track. So he goes to the one place he thinks will be safe -- home. There he takes a new job with his highly connected and influential uncle. But in the yards, where his uncle now pulls the strings, safe is not how they do business. Unwittingly, he's drawn into a world of sabotage, high stakes payoffs and even murder.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48222458,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_e74ad9ee-d9e2-4253-8721-026ec9bed7be.jpg?v=1788290468,1,The Yards poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
a-world-apart-vhs-rental-thriller,A World Apart,"<p>Molly (Jodhi May), a white teenage girl living in Johannesburg during the 1960s, finds her life turned upside down when her leftist parents become targets of the pro-apartheid South African government. Molly's father, Gus (Jeroen Krabbé), is forced into exile, but her mother, Diana (Barbara Hershey), continues her activism. As her family's reputation leaves her shunned by fellow Caucasian peers, Molly grows closer to her mother and begins to understand the anti-apartheid cause.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48189690,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/250px-A_world_apart_bd9084c3-3251-457b-aaba-d7dd207e0521.jpg?v=1788290466,1,A World Apart poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
lakota-woman-vhs-rental-drama,Lakota Woman,"<p>Raised on a Sioux reservation in the 1960s, young Lakota girl Mary Crow Dog (Irene Bedard) learns the history of her people at the foot of her grandfather Fool Bull (Floyd ""Red Crow"" Westerman), a survivor of the legendary massacre at Wounded Knee in 1890. Forced to attend a Catholic boarding school, she loses touch with her tribal heritage until becoming radicalized by a fellow student (Amy Moore Davis) and going forth to regain her Native American identity.</p>",VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48156922,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_3dcc9e8c-5455-4052-b1f2-b113e6819bab.jpg?v=1788290465,1,Lakota Woman poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
october-sky-vhs-rental-kids-family,October Sky,"<p>John Hickam is a West Virginia coal miner who loves his job and expects his sons, Jim and Homer, to follow in his footsteps. But Jim gets a football scholarship, and Homer becomes interested in rocket science after seeing Sputnik 1 crossing the sky. John disapproves of his son's new mania, but Homer begins building rockets with the help of friends and a sympathetic teacher. Rocketry, he hopes, will prove his ticket to a better life.</p>",VHS,Media > Videos,,"Formatted, Kids & Family, Rental, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48124154,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_94068615-3bbe-4c44-bd95-c7f7cc7e5633.jpg?v=1788290465,1,October Sky poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
hearts-of-fire-vhs-rental-musical,Hearts of Fire,"<p>For as long as she can remember, Molly McGuire has picked guitar. Written songs. And dreamed about the day opportunity would knock. But opportunity never knocked. Instead it kicked the door down, grabbed her by the guitar strap and thrust her into a warld far different from her sleepy small town. Suddenly Molly's a rockstar, IF she can handle it.</p>",VHS,Media > Videos,,"Formatted, Musical, Rental, VHS",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48091386,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/latest_cc4403f8-40ea-4e6b-b47e-070d7814440e.webp?v=1788290463,1,Hearts of Fire poster,false,,,,,,,,,,,,,musical,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
igby-goes-down-vhs-rental-drama,Igby Goes Down,"<p>Igby Slocumb (Kieran Culkin), a rebellious and sarcastic 17-year-old boy, is at war with the stifling world of old money privilege he was born into. With a schizophrenic father (Bill Pullman), a self-absorbed, distant mother (Susan Sarandon), and a shark-like young Republican big brother (Ryan Phillippe), Igby figures there must be a better life out there -- and sets about finding it.</p>",VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,48058618,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_f269f615-3337-4752-bd14-824f6a99850e.jpg?v=1788290462,1,Igby Goes Down poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
minority-report-vhs-rental-sci-fi,Minority Report,"<p>Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in Washington D.C. in 2054, where police utilize a psychic technology to arrest and convict murderers before they commit their crime. Tom Cruise plays the head of this Precrime unit and is himself accused of the future murder of a man he hasn't even met.</p>",VHS,Media > Videos,,"Formatted, Rental, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,47993082,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/Minority_Report_Poster_2e24fe27-6e7e-475c-8359-42b60a6dec85.jpg?v=1788290460,1,Minority Report poster,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
no-contest-vhs-rental-thriller,No Contest,"<p>A Ms Galaxy beauty pageant is taken over by a gang of terrorists. After wiring the building with explosives, they demand $10 million dollars in ransom. It soon turns out that the police are not the only ones planning a valiant attempt at freedom.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,47927546,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/MV5BZWE0N2NkMWYtM2FjYy00MmZjLTg3MGItNDAxMTU5YzQxMDg3XkEyXkFqcGc_._V1_642287c8-c405-4e97-9e22-c63e129391dd.jpg?v=1788290458,1,No Contest poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
chrome-soldiers-the-secret-passion-of-robert-clayton,Chrome Soldiers The Secret Passion of Robert Clayton,"<p>This vintage collection offers a nostalgic look at classic military figurines through high-quality photography and detailed historical context. The glossy pages showcase a dedicated collector's journey, making it an essential reference for toy soldier enthusiasts and hobbyists alike. It serves as both an aesthetic coffee table centerpiece and a comprehensive guide to mid-century craftsmanship.</p>",VHS,Media > Videos,,"Action, Formatted, Issue_Rental_Or_Sale, VHS",false,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSCHR-50-001A,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,draft,barcode too long for Libib's 15-char field (18 chars)
drive-me-crazy,Drive Me Crazy,"<p>This classic physical media release brings a nostalgic nineties teen rom-com experience to your home collection in its original analog format. The vintage slipcase features iconic artwork, making it a perfect addition for enthusiasts of retro cinema and collectors of magnetic tape memorabilia. Enjoy the distinct aesthetic and warm playback quality that only this era of home entertainment can provide.</p>",VHS,Media > Videos,,"Comedy, Formatted, Issue_Rental_Or_Sale, VHS",false,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-VHSDRI-50-002A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/qq2jbAOw5yWTaSPJIRHxvTf0bND.jpg?v=1788285172,1,Drive Me Crazy (1999) poster,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,draft,barcode too long for Libib's 15-char field (18 chars)
its-pat-the-movie-1,Its Pat...The Movie,"<p>This cult classic comedy follows the misadventures of an androgynous main character in a vintage physical media format that includes the original full-screen presentation. It is a nostalgic addition to any retro film collection, featuring the distinctive 1990s cover art and the tactile experience of a classic home video release. This collectible tape is perfect for fans of Saturday Night Live history and enthusiasts of mid-90s cinematic nostalgia.</p>",VHS,Media > Videos,,"Comedy, Formatted, Issue_Rental_Or_Sale, VHS",false,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSTSP-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/tydslMVgc6DpEvwYT0MWW9byL1a_6f40c5ea-3d67-4f9d-ab79-d0ca02ae72df.jpg?v=1788285168,1,Its Pat...The Movie (1994) poster,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,draft,barcode too long for Libib's 15-char field (18 chars)
beverly-hills-chihuahua,Beverly Hills Chihuahua,<p>This heartwarming family comedy follows the high-stakes adventures of a pampered pet who finds herself lost and in need of help from newfound friends to find her way home. The disc includes the full-length feature film along with behind-the-scenes bonus content and deleted scenes perfect for movie night. Local scenery and charming animal performances make this a delightful choice for children and animal lovers alike.</p>,DVD,Media > Videos,,"DVD, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,191-DVDBEV-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781752822191.jpg?v=1781754181,1,191-DVDBEV-50-001A,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active,barcode too long for Libib's 15-char field (18 chars)
munsters-a-rob-zombie-film,Munsters (A Rob Zombie Film),"<p>The Munsters is a 2022 horror comedy film written and directed by Rob Zombie, a reimagining of the classic sitcom's origin story following how Herman and Lily Munster met, fell in love, and married.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDMUN-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/The_Munsters__282022_29_Movie.png?v=1788285159,1,191-DVDMUN-50-001A,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active,barcode too long for Libib's 15-char field (18 chars)
unbearable-weight-of-massive-talent,Unbearable Weight of Massive Talent,"<p>Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRUNB-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781752609243_011ba851-dbf5-478a-bbf3-2163a729cd2b.jpg?v=1788285158,1,191-BLRUNB-50-001A,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode too long for Libib's 15-char field (18 chars)
species-4k-collectors-edition,Species 4K Collector's Edition,"<p>Species is a 1995 science fiction horror film about a team of scientists and specialists who hunt down a deadly alien-human hybrid, created in a genetic experiment, after she escapes their lab and goes on the run.</p>",4K,Media > Videos,,"4K, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRSPC-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/Species_1995_poster.jpg?v=1788285156,1,191-BLRSPC-50-001A,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active,barcode too long for Libib's 15-char field (18 chars)
the-wraith-collectors-series,The Wraith (Collector's Series),"<p>The Wraith is a 1986 action fantasy film in which a mysterious, otherworldly figure in a futuristic car exacts revenge on a gang of murderous car thieves terrorizing a small town.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNKTHE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/The-wraith-poster.jpg?v=1788285155,1,191-UNKTHE-50-001A,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active,barcode too long for Libib's 15-char field (18 chars)
creepshow-2,Creepshow 2,"<p>Three macabre tales from the latest issue of a boy's favorite comic book, dealing with a vengeful wooden Native American, a monstrous blob in a lake, and an undying hitchhiker.</p>",4K,Media > Videos,,"4K, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRCRE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781752273263_65cd96bf-6f7b-4e8e-aaaf-ffb2ce0fe169.jpg?v=1788285153,1,191-BLRCRE-50-001A,false,,,,,,,,,,,,,horror,,,,,,,,,,,,,,,lb,,,active,barcode too long for Libib's 15-char field (18 chars)
