Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
"still_issue: no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Genre needed, Issue, Special Interest, VHS)",behind-the-scenes-point-break-hot-shots-vhs,Behind the Scenes: Point Break / Hot Shots,,VHS,Media > Videos,,"Floor Sale, Formatted, Genre needed, Issue, Special Interest, VHS",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,80414970,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Blu-Ray, Formatted, Genre needed, Issue, Rental)",being-john-malkovich,Being John Malkovich,"<p>This special edition release features a high-definition digital restoration supervised by the director alongside a wealth of exclusive bonus content including behind-the-scenes documentaries and filmmaker interviews. It includes a collectible booklet containing an essay on the film's cultural impact, making it an essential addition for fans of surrealist cinema and boutique physical media.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Genre needed, Issue, Rental",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRBEI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249961255_ee5dc5e4-90d6-47ed-9cc4-e2d21c625e7e.jpg?v=1788103200,1,191-BLRBEI-001A,false,,,,,,,,,,,,,,,,,,,lb,,,active
no media format (Vendor 'The Franchise Collection' is not VHS/DVD/Blu-Ray/4K),best-of-abbott-and-costello-volume-4,Best of Abbott and Costello Volume 4,"<p>This classic DVD compilation features a hilarious selection of digitally remastered films from one of Hollywood's most legendary comedy duos. Fans can enjoy hours of timeless slapstick, witty banter, and iconic sketches that have entertained audiences for generations. It is a must-have addition for any cinema enthusiast looking to complete their vintage media library.</p>",The Franchise Collection,Media > Videos,,"Comedy, Formatted, Issue, Needs-Format, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-THFBES-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250421185.jpg?v=1788103083,1,191-THFBES-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Genre needed, Issue, VHS)",big-mommas-house,Big Momma's House,"<p>Experience this classic family comedy in its original analog format, perfect for collectors and fans of nostalgic media. The physical tape comes in a durable protective sleeve featuring vibrant cover art that captures the lighthearted energy of the film. It offers a unique viewing experience that brings back the charm of nineties cinema and physical home video libraries.</p>",VHS,Media > Videos,,"Floor Sale, Formatted, Genre needed, Issue, VHS",false,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-VHSBGM-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/5YoSFqpTz5qIxsX61CPMGKONQIY.jpg?v=1788103204,1,Big Momma's House (2000) poster,false,,,,,,,,,,,,,,,,,,,lb,,,draft
no Rental or Floor Sale tag — cannot tell which this is,black-sheep,Black Sheep,"<p>This unique collectible features a soft, textured finish and a charming monochromatic design that stands out in any display. Its minimalist aesthetic and high-quality craftsmanship make it a sophisticated addition for enthusiasts of stylized animal figures. Ideal for adding a touch of personality to a shelf or desk, this piece blends whimsical character with a sleek, modern look.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDBLA-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782251321990_71f22f3c-9982-440f-bac4-e6e5b4b47079.jpg?v=1788103148,1,191-DVDBLA-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),blind-side,Blind Side,,Little Movie Store,Media > Videos,,"Floor Sale, Formatted, Issue, Needs-Format, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,15616762,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),blind-trust-pouvoir-intime,"Blind Trust, Pouvoir Intime",,Little Movie Store,Media > Videos,,"Floor Sale, Foreign, Formatted, Issue, Needs-Format",true,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,35998458,,,,false,,,,,,,foreign,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,casino,Casino,"<p>This sleek electronic handheld device offers an authentic gaming experience with multiple classic vegas-style play modes and a high-contrast digital display. Its pocket-sized design features responsive physical buttons and automated scoring, making it the perfect portable companion for casual entertainment on the go. Experience the thrill of the jackpot anytime with this durable and easy-to-use gaming console.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCAS-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782251668630.jpg?v=1788103139,1,191-DVDCAS-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,cast-away,Cast Away,<p>This uniquely crafted volleyball features a weathered aesthetic and the iconic handprint design inspired by the legendary survival film. It serves as both a functional sports ball and a must-have piece of cinematic memorabilia for collectors and fans alike. Its durable construction ensures it remains a standout conversation piece whether it is used on the court or displayed on a shelf.</p>,DVD,Media > Videos,,"Drama, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCST-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782252050885.jpg?v=1788103136,1,191-DVDCST-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),castle-freak,Castle Freak,"<p>This cult classic horror film is presented on high-definition physical media, featuring a stunning restoration that brings every unsettling detail of the gothic atmosphere to life. The release includes a variety of special features and behind-the-scenes insights that make it a perfect addition for collectors of surreal genre cinema. Its blend of practical effects and haunting storytelling ensures a memorable viewing experience for any fan of vintage macabre tales.</p>",Unknown,Media > Videos,,"Formatted, Horror, Issue, Needs-Format, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNKCAS-70-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781396030620_31f5550d-0444-4d95-ae10-717b0ff13184.jpg?v=1788103103,1,191-UNKCAS-70-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Chicago, Floor Sale, Formatted, Genre needed, Issue, VHS)",chicago-vhs-floor-sale-chicago,Chicago,,VHS,Media > Videos,,"Chicago, Floor Sale, Formatted, Genre needed, Issue, VHS",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,27577594,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
still_issue: no Rental or Floor Sale tag — cannot tell which this is,chrome-soldiers-the-secret-passion-of-robert-clayton,Chrome Soldiers The Secret Passion of Robert Clayton,"<p>This vintage collection offers a nostalgic look at classic military figurines through high-quality photography and detailed historical context. The glossy pages showcase a dedicated collector's journey, making it an essential reference for toy soldier enthusiasts and hobbyists alike. It serves as both an aesthetic coffee table centerpiece and a comprehensive guide to mid-century craftsmanship.</p>",VHS,Media > Videos,,"Action, Formatted, Issue, Rental-or-Sale, VHS",false,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSCHR-50-001A,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,draft
no Rental or Floor Sale tag — cannot tell which this is,chronicle,Chronicle,<p>This handheld gaming collection brings together two classic arcade role-playing adventures in one convenient package. These titles offer deep character progression and strategic combat for fans of retro fantasy aesthetics and immersive storytelling. Experience legendary quests and challenging dungeons with smooth performance optimized for modern portable play.</p>,DVD,Media > Videos,,"DVD, Formatted, Issue, Rental-or-Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCHR-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782253399278.jpg?v=1788103123,1,191-DVDCHR-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),chuck-buck,Chuck & Buck,"Chuck &amp; Buck follows two childhood friends whose adult lives have diverged sharply—Chuck has moved on to a polished career, while Buck remains stuck in adolescence and develops an unsettling fixation on rekindling their past bond. This darkly comic psychological drama blends discomfort, poignancy, and offbeat humor, earning critical praise for its originality, layered performances, and unsettling exploration of boundaries.",Unknown,Media > Videos,,"Comedy, Formatted, Issue, Needs-Format, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNKCHU-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780437450597.jpg?v=1788103110,1,191-UNKCHU-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,cobra-verde-dvd,Cobra Verde (DVD),<p>This cinematic masterpiece follows an impoverished rancher who travels to West Africa and becomes a powerful slave trader in a haunting tale of madness and ambition. This physical media edition offers a high-quality viewing experience of the visually stunning collaboration between a legendary director and his volatile lead actor. It is an essential addition for collectors who appreciate intense historical dramas and the peak of international arthouse cinema.</p>,DVD,Media > Videos,,"Drama, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCOB-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250607257.jpg?v=1788103155,1,191-DVDCOB-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Genre needed, Issue, VHS)",cocktail,Cocktail,,VHS,Media > Videos,,"Floor Sale, Formatted, Genre needed, Issue, VHS",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSCOC-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780417252482_96c2f785-5704-448a-98f8-c1f6914e1816.jpg?v=1788103212,1,191-VHSCOC-50-001A,false,,,,,,,,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,cold-pursuit,Cold Pursuit,"<p>This high-definition Blu-ray release offers a gripping cinematic experience centered on a father seeking justice in a frozen mountain landscape. It features stunning visuals of snow-covered terrain along with bonus content that provides a behind-the-scenes look at the making of this intense action thriller. The film blends dark humor with stylized violence, making it an essential addition for fans of gritty revenge stories and cinematic storytelling.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCOL-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782251280113.jpg?v=1788103146,1,191-DVDCOL-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Formatted, Genre needed, Issue, Rental, VHS)",come-blow-your-horn,Come Blow Your Horn,"<p>This classic 1963 cinematic comedy comes in its original home video format, offering a nostalgic analog viewing experience for film collectors. The story follows a young bachelor as he learns the ropes of a sophisticated playboy lifestyle from his older brother, featuring witty dialogue and vibrant mid-century aesthetics. It is a must-have for those looking to enjoy a vintage physical copy of an iconic theatrical performance.</p>",VHS,Media > Videos,,"Formatted, Genre needed, Issue, Rental, VHS",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCMB-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781906488983.jpg?v=1788103202,1,191-VHSCMB-001A,false,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale, Formatted, Genre needed, Issue, VHS)",company-man,Company Man,"<p>This suspenseful thriller follows a corporate professional who discovers a dark secret within his high-stakes workplace. Presented in its original physical format, this vintage tape offers a nostalgic viewing experience for collectors of nineties cinema and psychological dramas. The clamshell case preserves the striking cover art, making it a standout addition to any retro media library.</p>",VHS,Media > Videos,,"Floor Sale, Formatted, Genre needed, Issue, VHS",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSCOM-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177117823.jpg?v=1788103216,1,Company Man poster,false,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Blu-Ray, Formatted, Genre needed, Issue, Rental)",conan-the-barbarian,Conan The Barbarian,,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Genre needed, Issue, Rental",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRCON-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781749193748_a4437ccf-f3bf-44ae-8806-63583b8dbf4b.jpg?v=1788103209,1,191-BLRCON-50-001A,false,,,,,,,,,,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Formatted, Genre needed, Issue, Rental, VHS)",confessions-of-a-police-captain,Confessions of a Police Captain,"<p>This vintage videocassette comes in its original clamshell case, making it a nostalgic find for collectors of classic crime cinema. The physical media features striking retro cover art that captures the gritty aesthetic of international police thrillers. It is an ideal addition for anyone looking to preserve a piece of cinematic history through a tangible analog format.</p>",VHS,Media > Videos,,"Formatted, Genre needed, Issue, Rental, VHS",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCNF-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782257643945.jpg?v=1788103197,1,191-VHSCNF-001A,false,,,,,,,,,,,,,,,,,,,lb,,,active
still_issue: no media format (Vendor 'Unknown Brand' is not VHS/DVD/Blu-Ray/4K),dead-poets-society-vhs-1989-robin-williams-buy-2-get-1-free,Dead Poet's Society VHS 1989 Robin Williams **Buy 2 Get 1 Free**,"<p>Experience this acclaimed classic drama in its original analog format, perfect for collectors of vintage cinema. This 1989 home video release captures the inspiring story and powerful performances with the nostalgic warmth of magnetic tape. It is an essential addition for fans of heartfelt storytelling and physical media memorabilia.</p>",Unknown Brand,Media > Videos,,"Drama, Floor Sale, Formatted, Issue, Needs-Format",false,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-NKNDEA-50-001A,,,,false,,,,,,,drama,,,,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Default Title', tags Blu-Ray, Formatted, Genre needed, Issue, Rental)",departed,Departed,<p>Experience the intense atmosphere of this critically acclaimed crime thriller through high-definition physical media. This home video release features the complete cinematic masterpiece alongside bonus features that delve into the gritty world of undercover operations and organized crime. It is an essential addition for any collector of award-winning dramas and legendary filmmaking.</p>,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Genre needed, Issue, Rental",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRDEP-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782252657945.jpg?v=1788103199,1,191-BLRDEP-001A,false,,,,,,,,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,despicable-me,Despicable Me,"<p>This playful collectible features the iconic round yellow character in his signature denim overalls and silver goggles. Perfect for fans and collectors, this high-quality figure captures a mischievous expression that adds a touch of whimsical charm to any shelf or desk display. The durable construction and vibrant colors ensure it remains a standout piece in any animation-inspired collection.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Issue, Kids & Family, Rental-or-Sale",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRDES-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250439155_d2ad7f40-f4b1-40a1-9988-79531668ce53.jpg?v=1788103164,1,191-BLRDES-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,dragon-wars-d-war,Dragon Wars D-War,"<p>This epic fantasy film features groundbreaking visual effects and massive urban battles between ancient mythical creatures and modern military forces. It offers a high-octane viewing experience for fans of kaiju cinema and legendary lore, showcasing a climactic struggle to fulfill a centuries-old prophecy. The production blends large-scale CGI spectacle with a fast-paced narrative that keeps action enthusiasts engaged from start to finish.</p>",DVD,Media > Videos,,"DVD, Fantasy, Formatted, Issue, Rental-or-Sale",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDDRA-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782252823134.jpg?v=1788103127,1,191-DVDDRA-001A,false,,,,,,,fantasy,,,,,,,,,,,,lb,,,active
