Handle,Title,Option1 Name,Option1 Value,Body (HTML)
tricks-of-the-trade-vhs-rental-comedy,Tricks of the Trade,Genre,Comedy,"<p>After her picture perfect husband is murdered in a prostitute's apartment, Beverly Hills homemaker Catherine is devastated. But she doesn't spend too long mourning, because she's soon on a mission to put her husband's killer behind bars. To do so, she forms an unlikely partnership with Marla, the Hollywood hooker who serviced the deceased. Under Marla's guidance, the pair navigate the seedier side of Los Angeles to put this mystery to rest.</p>"
dangerous-love-vhs-floor-sale-thriller,Dangerous Love,Genre,Thriller,<p>A psychopath kills members of a video dating club and records their deaths.</p>
the-cats-meow-vhs-rental-thriller,The Cat's Meow,Genre,Thriller,<p>Semi-true story of the Hollywood murder that occurred at a star-studded gathering aboard William Randolph Hearst's yacht in 1924.</p>
breaking-in-vhs-rental-comedy,Breaking In,Genre,Comedy,"<p>Professional thief Ernie takes Mike on as an apprentice, but while Mike clearly has ""larceny in his heart"", it will take him a long time to get as good as Ernie.</p>"
next-of-kin-vhs-rental-action,Next of Kin,Genre,Action,"<p>Truman Gates, a Chicago cop, sets out to find his brother's killer. Meanwhile, another of his brothers, Briar (a hillbilly) decides to find the killer himself.</p>"
clay-pigeons-vhs-floor-sale-comedy,Clay Pigeons,Genre,Comedy,"<p>Clay is a young man in a small town who witnesses his friend, Earl, kill himself because of the ongoing affair that Clay was having with the man's wife, Amanda. Feeling guilty, Clay now resists the widow when she presses him to continue with the affair. Clay unknowingly befriends a serial killer named Lester Long who murders the widow in an attempt to ""help"" his ""fishing buddy.""</p>"
time-after-time-vhs-floor-sale-sci-f,Time After Time,Genre,Sci-Fi,<p>Writer H. G. Wells pursues Jack the Ripper to modern day San Francisco after the infamous serial killer steals his time machine to escape the 19th century.</p>
personals-vhs-rental-comedy,Personals,Genre,Comedy,"<p>A woman that during the daytime is an insignificant librarian, at night becomes a fascinating mysterious dark lady. She uses the personal advertisements on the newspapers to obtain appointments with men then kills them. These murders last until the wife of one victim decides to investigate.</p>"
moonraker-vhs-rental-action,Moonraker,Genre,Action,"<p>After Drax Industries' Moonraker space shuttle is hijacked, secret agent James Bond is assigned to investigate, traveling to California to meet the company's owner, the mysterious Hugo Drax. With the help of scientist Dr. Holly Goodhead, Bond soon uncovers Drax's nefarious plans for humanity, all the while fending off an old nemesis, Jaws, and venturing to Venice, Rio, the Amazon...and even outer space.</p>"
dr-no-vhs-rental-action,Dr. No,Genre,Action,"<p>Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters.</p>"
legends-of-the-fall-vhs-rental-drama,Legends of the Fall,Genre,Drama,"<p>In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.</p>"
the-match-vhs-rental-comedy,The Match,Genre,Comedy,<p>Romantic comedy set against the story of a grudge football match between two pubs. The prize for the winner of the centenary match is the the closure of their opponent's bar. The Match was mainly filmed around Straiton in Ayrshire.</p>
while-you-were-sleeping-vhs-rental-romantic-comedy,While You Were Sleeping,Genre,Romantic Comedy,"<p>A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.</p>"
femme-fatale-vhs-rental-thriller,Femme Fatale,Genre,Thriller,"<p>A $10-million diamond rip-off, a stolen identity, a new life married to a diplomat. Laure Ash has risked big, won big. But then a tabloid shutterbug snaps her picture in Paris, and suddenly, enemies from Laure's secret past know who and where she is. And they all want their share of the diamond heist. Or her life. Or both.</p>"
unforgettable-vhs-rental-thriller,Unforgettable,Genre,Thriller,"<p>Seattle medical examiner David Krane is obsessed with solving his wife's murder. A possible solution presents itself in an experimental ""memory"" serum designed by a neurobiology professor, which has the ability to transfer memories from one person to another, but with potentially fatal consequences.</p>"
topaz-vhs-rental-thriller,Topaz,Genre,Thriller,"<p>Copenhagen, Denmark, 1962. When a high-ranking Soviet official decides to change sides, a French intelligence agent is caught up in a cold, silent and bloody spy war in which his own family will play a decisive role.</p>"
just-around-the-corner-vhs-rental-musical,Just Around the Corner,Genre,Musical,<p>Penny helps her idealistic architect father get his dream of a slum clearance project; The little miss dances with Corporal Jones.</p>
always-watching-dvd-rental-horror,Always Watching,Genre,Horror,"<p>A short film about a seventeen-year-old Eli begins to experience disturbing hallucinations—voices, shifting shadows, and a reality that won’t stay still. As his mind unravels, he struggles to tell what’s real and what isn’t, while a mysterious voice pulls him deeper into the chaos.</p>"
paradise-city-dvd-rental-action,Paradise City,Genre,Action,"<p>The worlds of a young cop with a checkered past, an ex-con turned devout Muslim, and a junkie with affluent roots collide in a plot to justify New York City's counter-terrorism campaign against homegrown extremists.</p>"
head-in-the-clouds-dvd-rental-drama,Head in the Clouds,Genre,Drama,"<p>Gilda Bessé shares her Paris apartment with an Irish schoolteacher, Guy Malyon, and Mia, a refugee from Spain. As the world drifts toward war, Gilda defiantly pursues her hedonistic lifestyle and her burgeoning career as a photographer. But Guy and Mia feel impelled to join the fight against fascism, and the three friends are separated.</p>"
paul-mccartney-live-at-the-cavern-club-dvd-rental-musical,Paul McCartney: Live at the Cavern Club,Genre,Musical,"<p>On December 14, 1999, 300 people squeezed into the Cavern Club in Liverpool to watch Paul McCartney perform at The Beatles' legendary venue for the first time since 1963. Pink Floyd guitarist David Gilmour and Deep Purple drummer Ian Paice were among the other great musicians joining Paul on stage. You can now view this unique piece of rock 'n' roll history, as well as two of Paul's latest music videos and an interview with him on this special home video release. Songs: Honey Hush, Blue Jean Bop, Brown-Eyed Handsome Man, Fabulous, What It Is, Lonesome Town, Twenty Flight Rock, No Other Baby, Try Not to Cry, Shake a Hand, All Shook Up, I Saw Her Standing There, Party.</p>"
acceleration-dvd-rental-action,Acceleration,Genre,Action,"<p>After being double crossed by his most trusted operative, a ruthless crime lord takes revenge by kidnapping the her son. Overwhelmed with fear, the operative is given one night to make up for her misdeeds by systematically eliminating his enemies. As the hours rush by, the steaks begin to rise and the darkened city streets turn into a brutal and bloody battle ground.</p>"
blue-streak-dvd-rental-action,Blue Streak,Genre,Action,"<p>Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an LAPD detective.</p>"
dead-tone-dvd-rental-horror,Dead Tone,Genre,Horror,"<p>As another semester draws to a close at the University of Dreyskill, a simple game dreamt to help students avoid studying becomes a bloody battle for survival.</p>"
collateral-dvd-floor-sale-action,Collateral,Genre,Action,<p>Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.</p>
the-good-the-bad-and-the-ugly-dvd-floor-sale-action,The Good the Bad and the Ugly,Genre,Action,"<p>A Italian western parody, of Sergio Leone's THE GOOD, THE BAD and the UGLY...but with Star Wars characters. With respect to Ennio Morricone's unforgettable and entirely iconic film score.</p>"
world-trade-center-dvd-rental-drama,World Trade Center,Genre,Drama,"<p>Two police officers struggle to survive when they become trapped beneath the rubble of the World Trade Center on September 11, 2001.</p>"
mortal-dvd-rental-thriller,Mortal,Genre,Thriller,"<p>MORTAL is a film that tackles the issue of the immense pressure that's placed on young people during the exam season. The film follows Jonathan, a student preparing for his final A Level exams which will decide whether he can pursue his dream of going to university or fail and have to try and pursue a career in writing without a degree. As the weight of this pressure becomes unbearable he turns to drinking to cope although this cause major issues when he meets up with his friends for a few casual drinks.</p>"
escapee-dvd-rental-action,Escapee,Genre,Action,"<p>While on a class observation trip at a local mental hospital, young psychology major Abby Jones, has a chilling encounter with high-risk patient, Harmon Porter. She returns home for an evening of normal study with her two roommates unaware of the darkness she’s awakened within him.</p>"
a-walk-in-my-shoes-dvd-rental-drama,A Walk in My Shoes,Genre,Drama,"<p>Ever judge someone just by looking at them? Of course, we’ve all made snap judgments about people. But what if we really got to know them? How would our opinions change? And what if we were forced to become them… how would the shoes fit then? Stressed-out high school teacher Trish Fahey can’t understand her students’ lack of effort and why their parents don’t seem to care. This perspective dramatically changes when Trish meets Molly, a mysterious stranger intent on helping her see things differently. When Trish wrecks her car, Molly is there as Trish wakes to find herself living the life of Cindy Kremer, the woman she has personally judged and criticized. Trish discovers that there is often more to the story and learns a powerful lesson that affects everyone she interacts with. Her husband, her daughter, the ex-Marine next door… No one is left unchanged.</p>"
wrestlemaniac-dvd-rental-horror,Wrestlemaniac,Genre,Horror,"<p>On their way to Cabo San Lucas, the cast and crew of a low-budget film get lost and come upon ""La Sangre De Dios"", a ghost town with a spine-tingling legend about an insane Mexican wrestler. One by one, the cast and crew are snatched, beaten and dragged to a bloody death. The few left alive must figure out how to beat the wrestler at his own deadly game, or die trying.</p>"
dangerous-ground-dvd-floor-sale-action,Dangerous Ground,Genre,Action,"<p>Vusi Madlazi returns to the South African village he left as a young boy (he was organizing against apartheid, and left in fear of his life) to bury his father. He meets up with his brother Ernest, who tells him their other brother Stephen couldn't be contacted. Vusi goes to Johannesburg to find him, but at first can only find his neighbor/girlfriend, Karin, a stripper. Vusi proceeds to learn how conditions have changed since the end of apartheid, not always for the better for black men.</p>"
hidalgo-dvd-floor-sale-action,Hidalgo,Genre,Action,"<p>Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...</p>"
takers-dvd-floor-sale-action,Takers,Genre,Action,"<p>A seasoned team of bank robbers, including Gordon Jennings, John Rahway, A.J., and brothers Jake and Jesse Attica successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost, a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer inches closer to apprehending the criminals.</p>"
crank-dvd-6,Crank,Genre,Action,"<p>Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.</p>"
elf-dvd-5,Elf,Genre,Kids & Family,"<p>When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.</p>"
sleepover-dvd-rental-comedy,Sleepover,Genre,Comedy,"<p>Desperate to improve their social status, four best friends enter into an all-night scavenger hunt against the popular clique in their school.</p>"
hugo-dvd-rental-kids-family,Hugo,Genre,Kids & Family,"<p>Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.</p>"
life-dvd-rental-sci-fi,Life,Genre,Sci-Fi,"<p>The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.</p>"
beginners-dvd-rental-romantic-comedy,Beginners,Genre,Romantic Comedy,"<p>Oliver meets the irreverent and unpredictable Anna only months after his father Hal Fields has passed away. This new love floods Oliver with memories of his father, who, following the death of his wife of 44 years, came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life – which included a younger boyfriend.</p>"
three-days-of-rain-dvd-rental-drama,Three Days of Rain,Genre,Drama,<p>Six Anton Chekhov short stories set in modern day Cleveland during a three day rain storm.</p>
fly-away-home-dvd-rental-kids-family,Fly Away Home,Genre,Kids & Family,"<p>Amy is only 13 years old when her mother is killed. She goes to Canada to live with her father, an eccentric inventor whom she barely knows. Amy is miserable in her new life... until she discovers a nest of goose eggs that were abandoned when a local forest was torn down. The eggs hatch and Amy becomes ""Mama Goose"". When winter comes, Amy and her dad must find a way to lead the birds South.</p>"
fired-up-dvd-rental-comedy,Fired Up,Genre,Comedy,<p>Popular high schoolers and best friends Shawn and Nick decide to ditch football camp for cheerleader camp. For the girls and for the glory.</p>
soul-survivors-dvd-rental-horror,Soul Survivors,Genre,Horror,<p>A college freshman involved in a fatal car crash discovers she may not have survived after all when she becomes caught between the worlds of the living and the dead.</p>
a-christmas-star-dvd-rental-holiday,A Christmas Star,Genre,Holiday,"<p>Born under the Christmas Star, Noelle believes she has the gift to perform miracles, so when conniving developer McKerrod threatens her peaceful life she and her friends determine to use this gift to thwart his plans and save their village.</p>"
bless-the-child-dvd-rental-horror,Bless the Child,Genre,Horror,"<p>When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis takes up her cause when he realizes that Cody shares the same birth date as several other recently murdered children.</p>"
collateral-dvd-rental-action,Collateral,Genre,Action,<p>Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.</p>
seven-swords-dvd-rental-action,Seven Swords,Genre,Action,"<p>In the middle of the 17th century, the Manchus conquered China and founded the Ching dynasty. Due to widespread uprisings against the new rulers, the study and practice of traditional martial arts is forbidden and punishable by death. The unscrupulous leader of a troop of mercenaries takes advantage of this situation to make a fortune with the bounty on his head.</p>"
life-of-pi-dvd-rental-fantasy,Life of Pi,Genre,Fantasy,"<p>The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.</p>"
marked-for-death-dvd-rental-action,Marked for Death,Genre,Action,"<p>Just retired from the Drug Enforcement Agency, John Hatcher returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses paths with a ferocious Jamaican drug lord who vows that Hatcher and his family are now marked for death.</p>"
grey-gardens-dvd-rental-drama,Grey Gardens,Genre,Drama,"<p>Based on the life stories of the eccentric aunt and first cousin of Jackie Onassis raised as Park Avenue débutantes but who withdrew from New York society, taking shelter at their Long Island summer home, ""Grey Gardens."" As their wealth and contact with the outside world dwindled, so did their grasp on reality.</p>"
just-like-heaven-dvd-rental-comedy,Just Like Heaven,Genre,Comedy,"<p>Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Masterson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.</p>"
terms-of-endearment-dvd-rental-drama,Terms of Endearment,Genre,Drama,"<p>Aurora, a finicky woman, is in search of true love while her daughter faces marital issues. Together, they help each other deal with problems and find reasons to live a joyful life.</p>"
the-scout-dvd-rental-comedy,The Scout,Genre,Comedy,"<p>When his star recruit botches a Major League Baseball debut, humiliated talent scout Al Percolo gets banished to rural Mexico, where he finds a potential gold mine in the arm of young phenom Steve Nebraska. Soon, the New York Yankees put a $55 million contract on the table—provided a psychiatrist can affirm Nebraska's mental stability.</p>"
thumbsucker-dvd-rental-comedy,Thumbsucker,Genre,Comedy,"<p>Justin Cobb, a teenager in suburban Oregon, copes with his thumb-sucking problem, romance, and his diagnosis with ADHD and subsequent experience using Ritalin.</p>"
the-motorcycle-diaries-dvd-rental-drama,The Motorcycle Diaries,Genre,Drama,"<p>Based on the journals of Che Guevara, leader of the Cuban Revolution. In his memoirs, Guevara recounts adventures he and best friend Alberto Granado had while crossing South America by motorcycle in the early 1950s.</p>"
anger-of-the-dead-dvd-rental-horror,Anger of the Dead,Genre,Horror,"<p>In a world ravaged by a rabies virus that turns people into hungry cannibals, Alice a pregnant survivor, along with two other men, struggles to reach an island unaffected by the plague. Meanwhile a dangerous man is on the trail of a mysterious girl, and Alice soon discovers that zombies are not the only threat.</p>"
misery-dvd-rental-horror,Misery,Genre,Horror,"<p>After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan.  Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.</p>"
pants-on-fire-dvd-rental-kids-family,Pants on Fire,Genre,Kids & Family,"<p>Jack Parker has always skated by on his lies, especially the one about Mikey, an underprivileged (and made-up) teen who Jack ""tutors""... until one day ""Mikey"" shows up for real, and all Jack's lies start coming true.</p>"
the-company-dvd-rental-drama,The Company,Genre,Drama,"<p>Ensemble drama centered around a group of ballet dancers, with a focus on one young dancer who's poised to become a principal performer.</p>"
the-thin-red-line-dvd-rental-drama,The Thin Red Line,Genre,Drama,"<p>The story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer, and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey, from the surprise of an unopposed landing, through the bloody and exhausting battles that follow, to the ultimate departure of those who survived.</p>"
tristan-isolde-dvd-rental-drama,Tristan + Isolde,Genre,Drama,<p>An affair between the second in line to Britain's throne and the princess of the feuding Irish spells doom for the young lovers.</p>
the-flock-dvd-rental-thriller,The Flock,Genre,Thriller,"<p>Erroll Babbage has spent his career tracking sex offenders and his unorthodox methods are nearly as brutal as the criminals he monitors. When he links one of his deranged parolees to the disappearance of a local girl, he and his new partner must scour the S&M underground to find her before it's too late.</p>"
the-abyss-dvd-rental-sci-fi,The Abyss,Genre,Sci-Fi,"<p>A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.</p>"
gone-with-the-wind-dvd-rental-drama,Gone with the Wind,Genre,Drama,<p>The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.</p>
crank-dvd-rental-action,Crank,Genre,Action,"<p>Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.</p>"
take-no-prisoners-dvd-rental-action,Take no Prisoners,Genre,Action,"<p>Three childhood friends raised in the housing projects of Brooklyn grow into men of the streets, taking three separate paths in a common search for a way out of the ghetto. When a murder gone wrong reunites them, loyalty and betrayal will determine who lives and who dies at the hands of a murderous drug lord. Will their friendship be the bond that saves them, or will survival of the fittest determine who makes it out of this urban war?</p>"
lost-city-dvd-rental-comedy,Lost City,Genre,Comedy,"<p>The film tells of a small expedition that decides to track down the lost city in the exclusion zone, where there are extraordinary things.</p>"
unrest-dvd-rental-horror,Unrest,Genre,Horror,<p>A young pathology med student suspects that the spirit of a dead cadaver in the hospital morgue where she works is killing off all those who handle or desecrate the body.</p>
trading-places-dvd-rental-comedy,Trading Places,Genre,Comedy,<p>A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.</p>
blade-dvd-rental-action,Blade,Genre,Action,"<p>The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires.</p>"
the-phantom-of-the-opera-dvd-rental-musical,The Phantom of the Opera,Genre,Musical,"<p>A comedy musical stage version of the Phantom of the Opera, filmed live on-stage during a performance in Florida.</p>"
zodiac-dvd-rental-thriller,Zodiac,Genre,Thriller,"<p>Over the course of a decade, editors of the San Francisco Chronicle entice themselves in the murders of the Zodiac Killer. However, as time runs its course, interest in the case dwindles in the eyes of the professionals. The Killer stops interacting with the public. However, believing he has the answers, an amateur cartoonist from the initial sightings races against time to prevent what he believes is another murder.</p>"
blade-ii-dvd-rental-action,Blade II,Genre,Action,"<p>Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.</p>"
gi-jane-dvd-rental-action,G.I. Jane,Genre,Action,"<p>In response to political pressure from Senator Lillian DeHaven, the U.S. Navy begins a program that would allow for the eventual integration of women into its combat services. The program begins with a single trial candidate, Lieutenant Jordan O'Neil, who is chosen specifically for her femininity. O'Neil enters the grueling Navy SEAL training program under the command of Master Chief John James Urgayle, who unfairly pushes O'Neil until her determination wins his respect.</p>"
hulk-dvd-rental-action,HULK,Genre,Action,"<p>Bruce Banner, a genetics researcher with a tragic past, suffers massive radiation exposure in his laboratory that causes him to transform into a raging green monster when he gets angry.</p>"
cravings-dvd-rental-horror,Cravings,Genre,Horror,<p>A woman struggles with an uncontrollable craving.</p>
safe-haven-dvd-rental-drama,Safe Haven,Genre,Drama,<p>A depressed woman's elegy from the other side of the grave that is told from the depths of her heart. She is realizing all the faults and cracks in the only place in the world she once viewed as her Safe Haven.</p>
angels-in-america-dvd-rental-drama,Angels in America,Genre,Drama,"<p>Peter Eötvös's operatic adaptation of Tony Kushner's ""Angels in America.""</p>"
the-international-dvd-5,The International,Genre,Action,"<p>An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.</p>"
nightmare-man-dvd-5,Nightmare Man,Genre,Horror,"<p>Ellen receives an exotic mask by mistake and begins to have waking nightmares and hallucinations.  Her husband and doctors believe she is a paranoid schizophrenic and take her to a psychiatric ward. On the way to the hospital the car breaks down, her husband rushes off to get gas, and the Nightmare Man appears. Ellen escapes and stumbles upon a country house where two young couples are spending the weekend. They do not know if the killer is real or just a figment of Ellen's tortured mind nor if the killer is outside or already inside the house.</p>"
independence-day-dvd-6,Independence Day,Genre,Sci-Fi,"<p>Strange phenomena surface around the globe. The skies ignite. Terror races through the world's major cities. As these extraordinary events unfold, it becomes increasingly clear that a force of incredible magnitude has arrived. Its mission: total annihilation over the Fourth of July weekend. The last hope to stop the destruction is an unlikely group of people united by fate and unimaginable circumstances.</p>"
superbad-dvd-5,Superbad,Genre,Comedy,<p>Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.</p>
head-case-dvd-5,Head Case,Genre,Horror,"<p>A film edited from the home movies of serial killers Wayne and Andrea Montgomery, which presents a look into their quiet, suburban lives...and the graphic, disturbing details of their horrific crimes.</p>"
troy-dvd-5,Troy,Genre,Action,"<p>In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. They set off with 1,000 ships holding 50,000 Greeks to Troy.</p>"
gladiator-bluray-8,Gladiator,Genre,Action,"<p>After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.</p>"
trial-and-error-dvd-5,Trial and Error,Genre,Comedy,"<p>When lawyer Charlie is sent to a small Nevada town to file a continuance request for a client, his actor friend Richard turns up to throw a surprise bachelor party celebrating his upcoming marriage to the boss's daughter. When Charlie is too hung-over to make it to court for the hearing, Richard fills in, inadvertently committing felony fraud, and Charlie is left with no choice but to coach the clueless Richard through the whole trial.</p>"
the-rat-pack-dvd-5,The Rat Pack,Genre,Drama,"<p>After a brief flash-forward to Frank Sinatra as an old man, saying ""I miss my guys,"" the movie's main narrative begins during high points in the solo careers of the Rat Pack: Dean Martin has become a big success despite the breakup of his partnership with Jerry Lewis; Sinatra's career is at its peak; Sammy Davis, Jr., is making a comeback after a near fatal car crash, and standup comic Joey Bishop is gaining exposure as an opening act for the other three. The Pack becomes complete when Sinatra reconciles with actor Peter Lawford, who has been ostracized since being seen out publicly with Sinatra's ex-wife, Ava Gardner.</p>"
black-mask-dvd-rental-action,Black Mask,Genre,Action,"<p>Super-soldier recruit Tsui Chik is forced to escape with his comrades after the project is canceled. Months later, he's trying to have a quiet life as a librarian with his best friend, Inspector Shek Wai-Ho. However, a string of vicious gangland murders begins that has all the markings of Tsui's former compatriots who seem to have turned to crime. Realizing that the police are helpless, he decides to take them on himself. With a disguise, Tsui becomes the mysterious superhero known only as Black Mask.</p>"
dejavu-dvd-rental-thriller,Dejavu,Genre,Thriller,"<p>""Mirna"" A young nurse, takes a job in a spooky house to help a disabled woman called ""Sofia"" In the house she has to deal with Sophia's strange husband and a constant feeling of deja vu.</p>"
snatchers-dvd-rental-horror,Snatchers,Genre,Horror,"<p>After status-obsessed teen Sara has sex for the first time, she wakes up the next day nine months pregnant-with an alien.</p>"
