Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),new-blood-rental-action,New Blood,,Little Movie Store,,,"Action, Rental, Issue, No Format",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92520186,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),on-the-down-n-low-rental-drama,On the Down 'N Low,,Little Movie Store,,,"Drama, Rental, Issue, No Format",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92487418,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),one-tough-cop-rental-action,One Tough Cop,,Little Movie Store,,,"Action, Rental, Issue, No Format",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92454650,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),only-the-lonely-rental-romantic-comedy,Only the Lonely,,Little Movie Store,,,"Rental, Romantic Comedy, Issue, No Format",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92323578,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),outlaw-justice-rental-action,Outlaw Justice,,Little Movie Store,,,"Action, Rental, Issue, No Format",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92585722,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),overboard-rental-romantic-comedy,Overboard,,Little Movie Store,,,"Rental, Romantic Comedy, Issue, No Format",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91897594,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),playing-god-rental-thriller,Playing God,,Little Movie Store,,,"Rental, Thriller, Issue, No Format",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92094202,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),raw-target-rental-action,Raw Target,,Little Movie Store,,,"Action, Rental, Issue, No Format",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92356346,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),silence-like-glass-rental-drama,Silence like Glass,,Little Movie Store,,,"Drama, Rental, Issue, No Format",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92225274,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),some-like-it-hot-rental-romantic-comedy,Some Like it Hot,,Little Movie Store,,,"Rental, Romantic Comedy, Issue, No Format",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92258042,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),the-animal-rental-comedy,The Animal,,Little Movie Store,,,"Comedy, Rental, Issue, No Format",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91930362,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),the-great-escape-rental-action,The Great Escape,,Little Movie Store,,,"Action, Rental, Issue, No Format",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92192506,,,,false,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),the-karate-kid-part-iii-rental-kids-family,The Karate Kid Part III,,Little Movie Store,,,"Kids & Family, Rental, Issue, No Format",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92028666,,,,false,,,,,,,,,,lb,,,active
