Source Batch,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
out-product_export_10,the-river-tsai-ming-liang-vhs,The River (Tsai Ming-Liang),,VHS,Media > Videos,"Floor Sale, VHS, Foreign, Formatted",Genre,Foreign,shopify,1,deny,manual,8.00,82184442,,,,foreign
out-product_export_10,pd-james-a-mind-to-murder-vhs,P.D. James A Mind to Murder,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,80549114,,,,drama
out-product_export_10,prefontane-vhs,Prefontane,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,92519418,,,,drama
out-product_export_10,fast-fortune-vhs,Fast Fortune,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,57705210,,,,comedy
out-product_export_10,eye-of-the-eagel-ii-vhs,Eye of the Eagel II,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,4.00,71649530,,,,action
out-product_export_10,somethingn-special-vhs,Somethingn Special,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,15683834,,,,comedy
out-product_export_10,4-film-favorites-batman-collection-bluray,4 Film Favorites: Batman Collection,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,10.00,07213050,,,,action
out-product_export_10,halo-4-forward-into-dawn-bluray,Halo 4: Forward into Dawn,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,17095674,,,,sci-fi
out-product_export_10,expendables-1-2-3-bluray,"Expendables 1,2&3",,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,16964602,,,,action
out-product_export_10,apocolypto-dvd,Apocolypto,,DVD,Media > Videos,"Floor Sale, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,34904826,,,,sci-fi
out-product_export_10,assasins-creed-bluray,Assasins Creed,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,25991930,,,,action
out-product_export_10,elf-steelbook-bluray,Elf (Steelbook),,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,12.00,84117754,,,,kids-family
out-product_export_10,bond-50-box-set-dvd,Bond 50: Box Set,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,55.00,84084986,,,,action
out-product_export_10,air-force-one-in-the-line-of-fire-dvd,Air Force One / In the Line of Fire,,DVD,Media > Videos,"Floor Sale, DVD, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,4.00,63755002,,,,thriller
out-product_export_10,55-days-of-peking-dvd,55 Days of Peking,,DVD,Media > Videos,"Floor Sale, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,63656698,,,,drama
out-product_export_10,dumbo-tim-burton-bluray,Dumbo (Tim Burton),,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,7.00,63492858,,,,kids-family
out-product_export_10,dredo-bluray,Dredo,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,63427322,,,,sci-fi
out-product_export_10,alexande-directors-cut-dvd,Alexande: Directors Cut,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,63361786,,,,action
out-product_export_10,alexander-revisted-the-final-cut-bluray,Alexander Revisted: The Final Cut,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,63329018,,,,action
out-product_export_10,battman-v-superman-dawn-of-justice-bluray,Battman V Superman: Dawn of Justice,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,43438842,,,,action
out-product_export_11,beauty-and-the-beast-live-action-bluray,Beauty and the Beast (Live Action),,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,43275002,,,,kids-family
out-product_export_11,twice-upon-a-yesterday-screener-vhs,Twice Upon a Yesterday (Screener),,VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,6.00,33542906,,,,romantic-comedy
out-product_export_11,strike-screener-vhs,Strike (Screener),,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,33444602,,,,comedy
out-product_export_11,the-cutting-ege-vhs,The Cutting Ege,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,4.00,33182458,,,,comedy
out-product_export_11,akira-kurosawa-four-samuri-classics-dvd,Akira Kurosawa: Four Samuri Classics,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,32.00,50416378,,,,action
out-product_export_11,xmen-collection-dvd,XMen Collection,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,8.00,50383610,,,,action
out-product_export_11,billy-jack-the-complete-collection-bluray,Billy Jack: The Complete Collection,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,10.00,08669946,,,,action
out-product_export_11,the-tale-of-sweeny-todd-vhs,The Tale Of Sweeny Todd,,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,5.00,72285178,,,,horror
out-product_export_11,frankenstein-meets-the-wolfman-vhs,Frankenstein Meets The Wolfman,,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,5.00,63798266,,,,horror
out-product_export_11,the-outer-limits-the-sixth-finger-vhs,The Outer Limits: The Sixth Finger,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,38566906,,,,sci-fi
out-product_export_11,the-outer-limits-demon-with-a-glass-hand-vhs,The Outer Limits: Demon with a Glass Hand,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,31212282,,,,sci-fi
out-product_export_11,they-valley-of-gwangi-vhs,They Valley of Gwangi,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,22987514,,,,sci-fi
out-product_export_11,food-of-the-gods-part-2-vhs,Food of the Gods Part 2,,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,22.00,31158010,,,,horror
out-product_export_11,the-outer-limits-the-galaxy-being-vhs,The Outer Limits: The Galaxy Being,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,22867706,,,,sci-fi
out-product_export_11,the-outer-limits-second-chance-vhs,The Outer Limits: Second Chance,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,06254330,,,,sci-fi
out-product_export_11,space-marines-ruby-jean-and-joe-vhs,Space Marines / Ruby Jean and Joe,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,97996794,,,,sci-fi
out-product_export_11,mission-galactica-the-cyclone-attack-vhs,Mission Galactica: The Cyclone Attack,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,7.00,32244218,,,,sci-fi
out-product_export_11,secrets-of-a-married-man-vhs,Secrets of a Married Man,"<p>A man going through a mid-life crisis, starts patronizing prostitutes. Eventually, he meets a very expensive one and he thinks he has it all. That is until her pimp starts hounding him.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,04445178,,,,comedy
out-product_export_11,wise-cracks-vhs,Wise Cracks,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,97137914,,,,comedy
out-product_export_11,planes-train-and-automobiles-vhs,"Planes, Train and Automobiles",,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,07156986,,,,comedy
out-product_export_11,whoopie-goldberg-fontaine-why-am-i-straight-vhs,Whoopie Goldberg: Fontaine Why Am I Straight?,"<p>Whoopi Goldberg, riding the fame of stand-up comedy and having made the transition to feature films, goes back to her stand-up roots by doing an entire show as one of her many characters, Fontaine.  Whoopi brings to life her popular alter-ego, Fontaine, a street-smart tough talking ex-junkie who eagerly shares thoughts on dealing with life, sex and drugs and other issues of contemporary life. Taped live at the Mayfair Theater in Santa Monica.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,4.00,94049786,,,,comedy
out-product_export_11,napoleon-dynomite-vhs,Napoleon Dynomite,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,40.00,74454522,,,,comedy
out-product_export_11,madeline-lose-in-paris-vhs,Madeline Lose in Paris,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,56563194,,,,kids-family
out-product_export_11,sonny-cher-in-good-times-vhs,Sonny & Cher in Good Times,,VHS,Media > Videos,"Floor Sale, VHS, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,13.00,56301050,,,,musical
out-product_export_11,living-it-up-english-dubbed-vhs,Living It Up (English Dubbed),,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,86996730,,,,comedy
out-product_export_11,run-lola-run-english-dub-vhs,Run Lola Run (English Dub),,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,9.00,59504378,,,,action
out-product_export_11,resevoir-dogs-vhs,Resevoir Dogs,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,08025850,,,,action
out-product_export_11,the-caged-heart-vhs,The Caged Heart,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,07894778,,,,thriller
out-product_export_11,sand-diego-zoo-its-a-wild-life-vhs,San Diego Zoo: It's a Wild Life,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,4.00,34814202,,,,kids-family
out-product_export_11,safetey-patrol-vhs,Safetey Patrol,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,34126074,,,,kids-family
out-product_export_11,huck-the-kind-of-hearts-vhs,Huck & The Kind of Hearts,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,4.00,33634554,,,,kids-family
out-product_export_11,thumbalina-vhs,Thumbalina,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,35822074,,,,kids-family
out-product_export_11,a-kid-in-aladins-palace-vhs,A Kid in Aladin's Palace,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,35101178,,,,kids-family
out-product_export_11,cats-dont-dance-vhs,Cat's Don't Dance,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,34970106,,,,kids-family
out-product_export_11,martian-chronicles-the-settlers-vhs,Martian Chronicles: The Settlers,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,11.00,53607162,,,,sci-fi
out-product_export_11,harry-potter-and-the-deathly-hollows-bluray,Harry Potter and the Deathly Hollows,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,7.00,23174650,,,,kids-family
out-product_export_3,orson-welles-gost-story-vhs-floor-sale-documentary,Orson Welles' Gost Story,,VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,8.00,02320890,,,,documentary
out-product_export_3,elvis-kissin-cousins-vhs-floor-sale-drama,Elvis Kissin' Cousins,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,01927674,,,,drama
out-product_export_3,normans-awesom-experience-vhs-floor-sale-sci-fi,Norman's Awesom Experience,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,18.00,01830394,,,,sci-fi
out-product_export_3,my-tutot-vhs-floor-sale-comedy,My Tutot,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,01601018,,,,comedy
out-product_export_3,20-movies-family-holiday-film-collection-dvd-floor-sale-holiday,20 Movies: Family Holiday Film Collection,,DVD,Media > Videos,"Floor Sale, DVD, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,8.00,00667642,,,,holiday
out-product_export_3,whtie-christmas-dvd-floor-sale-holiday,Whtie Christmas,,DVD,Media > Videos,"Floor Sale, DVD, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,5.00,00602106,,,,holiday
out-product_export_3,mullholand-falls-vhs-floor-sale-thriller,Mullholand Falls,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,00307194,,,,thriller
out-product_export_3,titalnic-town-vhs-floor-sale-drama,Titalnic Town,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,00176122,,,,drama
out-product_export_3,whitesnake-trilogy-vhs-rental-musical,Whitesnake: Trilogy,,VHS,Media > Videos,"Rental, VHS, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,93163770,,,,musical
out-product_export_3,where-the-spririt-lives-vhs-rental-drama,Where the Spririt Lives,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,43356410,,,,drama
out-product_export_3,leviathan-promotional-cassette-vhs-floor-sale-comedy,Leviathan Promotional Cassette,<p>10</p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,60007674,,,,comedy
out-product_export_3,the-adventires-of-milo-and-otis-dvd-floor-sale-kids-family,The Adventires of Milo and Otis,<p>5</p>,DVD,Media > Videos,"Floor Sale, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,56665338,,,,kids-family
out-product_export_3,ratatouille-cooking-fun-for-all-ages-dvd-rental-kids-family,Ratatouille: Cooking Fun For All Ages,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,48211194,,,,kids-family
out-product_export_3,j-lo-lets-get-loud-dvd-rental-musical,J Lo: Let's Get Loud,,DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,48178426,,,,musical
out-product_export_3,time-stalkers-vhs-rental-sci-fi,Time Stalkers,,VHS,Media > Videos,"Rental, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,16828410,,,,sci-fi
out-product_export_3,the-vagina-monoloues-vhs-rental-documentary,The Vagina Monoloues,,VHS,Media > Videos,"Rental, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,0,16336890,,,,documentary
out-product_export_3,the-amityvilly-horror-dvd-rental-horror,The Amityvilly Horror,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,95744762,,,,horror
out-product_export_3,the-secret-of-roan-inish-island-of-the-seals-dvd-rental-kids-family,The Secret of Roan Inish (Island of the Seals),,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,95646458,,,,kids-family
out-product_export_3,beauty-shop-leagally-blonde-dvd-rental-comedy,Beauty Shop / Leagally Blonde,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,03782906,,,,comedy
out-product_export_3,3-movie-collection-just-go-with-it-thats-my-boy-jack-jill-dvd-rental-comedy,3 Movie Collection: Just Go With It / That's My Boy / Jack & Jill,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,03619066,,,,comedy
out-product_export_3,superstar-dare-to-dream-dvd-rental-comedy,Superstar: Dare to Dream,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,03160314,,,,comedy
out-product_export_3,reguarding-henry-dvd-rental-drama,Reguarding Henry,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,03127546,,,,drama
out-product_export_3,andre-arctic-tale-dvd-rental-kids-family,Andre / Arctic Tale,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,02996474,,,,kids-family
out-product_export_3,bishwick-dvd-rental-horror,Bishwick,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,02832634,,,,horror
out-product_export_3,the-bount-hunter-dvd-rental-comedy,The Bount Hunter,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,39688698,,,,comedy
out-product_export_3,the-pursuit-fo-happyness-dvd-rental-drama,The Pursuit fo Happyness,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,39623162,,,,drama
out-product_export_3,hip-hop-2000-dvd-rental-documentary,Hip Hop 2000,<p>Low-budget docudrama about rap music in the year 2000.</p>,DVD,Media > Videos,"Rental, DVD, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,0,39164410,,,,documentary
out-product_export_3,billy-flynns-long-half-time-walk-dvd-rental-drama,Billy Flynn's Long Half Time Walk,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,96008954,,,,drama
out-product_export_3,triple-feature-lone-survivor-jardhead-green-zone-dvd-rental-action,"Triple Feature: Lone Survivor, Jardhead, Green Zone",,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,95976186,,,,action
out-product_export_3,the-john-singleton-4-movie-collection-dvd-floor-sale-drama,The John Singleton 4-Movie Collection,,DVD,Media > Videos,"Floor Sale, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,92502778,,,,drama
out-product_export_3,bloody-disgusting-3-movie-collection-dvd-floor-sale-horror,Bloody Disgusting 3-Movie Collection,,DVD,Media > Videos,"Floor Sale, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,7.00,92273402,,,,horror
out-product_export_3,pirates-of-the-carribean-the-curse-of-the-black-pearl-dvd-floor-sale-kids-family,Pirates of the Carribean: The Curse of the Black Pearl,,DVD,Media > Videos,"Floor Sale, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,92044026,,,,kids-family
out-product_export_3,blade-trilogy-dvd-floor-sale-sci-fi,Blade Trilogy,,DVD,Media > Videos,"Floor Sale, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,91945722,,,,sci-fi
out-product_export_3,resident-evil-collection-dvd-7,Resident Evil Collection,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,42203898,,,,action
out-product_export_3,miramax-movies-dvd-floor-sale-drama,Miramax Movies,,DVD,Media > Videos,"Floor Sale, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,41974522,,,,drama
out-product_export_3,star-wars-i-ii-iii-bluray-16,"Star Wars: I, II, III",<p>16</p>,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,16.00,41614074,,,,sci-fi
out-product_export_3,oija-dvd-5,Oija,<p>5</p>,DVD,Media > Videos,"Floor Sale, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,5.00,41057018,,,,horror
out-product_export_3,the-twiligh-saga-breaking-dawn-part-1-dvd-rental-fantasy,The Twiligh Saga: Breaking Dawn Part 1,,DVD,Media > Videos,"Rental, DVD, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,0,01223418,,,,fantasy
out-product_export_3,15-classic-movies-dvd-rental-drama,15 Classic Movies,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,34088954,,,,drama
out-product_export_3,under-the-tuscan-sky-dvd-rental-romantic-comedy,Under the Tuscan Sky,,DVD,Media > Videos,"Rental, DVD, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,33761274,,,,romantic-comedy
out-product_export_3,tin-cup-the-lengend-of-bagger-vance-dvd-rental-drama,Tin Cup / The Lengend of Bagger Vance,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,31762426,,,,drama
out-product_export_3,heidi-the-borrowers-dvd-rental-kids-family,Heidi / The  Borrowers,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,30681082,,,,kids-family
out-product_export_3,get-hard-central-intelligence-dvd-rental-comedy,Get Hard / Central Intelligence,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,43033082,,,,comedy
out-product_export_3,hostel-hostel-part-ii-that-tattooist-the-hunt-for-the-btk-killer-dvd-rental-horror,Hostel / Hostel Part II / That Tattooist / The Hunt for the BTK Killer,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,42541562,,,,horror
out-product_export_3,masters-of-terror-8-horror-films-dvd-rental-horror,Masters of Terror: 8 Horror Films,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,42410490,,,,horror
out-product_export_3,american-horror-stories-12-movie-collection-dvd-rental-horror,American Horror Stories 12 Movie Collection,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,42115578,,,,horror
out-product_export_3,the-contractor-the-fan-dvd-rental-thriller,The Contractor / The Fan,,DVD,Media > Videos,"Rental, DVD, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,0,65414650,,,,thriller
